,CNTYVTD,CD,sldl309,sldl358,sldu172
655,293094,23,122,122,25
656,293095,20,122,122,19
657,293096A,23,122,122,25
658,293096B,20,122,122,19
659,293097,23,122,122,25
660,293098,20,122,122,19
661,293099,20,122,122,19
662,293100,35,121,121,25
663,293101,20,122,122,19
664,293102,21,122,122,25
665,293103,35,118,118,25
666,293104,21,121,121,25
667,293105,35,118,118,25
668,293106,20,117,117,19
669,293107,20,116,116,26
670,293108,21,121,121,25
671,293109,20,116,116,19
672,293110,35,121,121,25
673,293111,21,123,123,26
674,293112,21,122,122,26
675,293113,20,123,123,26
676,293114,21,121,121,25
677,293115,23,122,122,25
678,293116,20,116,116,26
679,293117,21,121,121,25
680,293118,21,121,121,25
681,293119,21,122,122,25
682,293120,21,121,121,25
683,293121,21,122,122,25
684,293122,21,121,121,25
685,293123,23,122,122,25
686,293124,21,121,121,25
687,293125A,23,122,122,25
688,293125B,21,122,122,25
689,293126,23,117,117,25
690,293127,20,125,125,19
691,293128,23,117,117,25
692,293129,20,116,116,19
693,293130,23,122,122,25
694,293131,20,121,121,25
695,293132,21,123,123,25
696,293133,20,123,123,25
697,293134,20,116,116,19
698,293135,23,122,122,26
699,293136,20,123,123,26
700,293137,21,122,122,25
701,293138,21,122,122,25
702,293139,20,125,125,26
703,293140,20,116,116,26
704,293141,20,116,116,26
705,293142,20,122,122,19
706,293143,20,116,116,26
707,293144,21,122,122,25
708,293145,23,122,122,25
709,293146,20,116,116,26
710,293147,20,125,125,26
711,293148,23,122,122,25
712,293149,20,116,116,26
713,293150,21,121,121,25
714,293151,23,122,122,25
715,293152,20,116,116,26
716,293153,21,121,121,25
717,293154,21,121,121,25
718,293155,23,122,122,25
719,293156,21,121,121,25
720,293157,21,121,121,25
721,293158A,20,122,122,19
722,293158B,20,122,122,19
723,293159,35,121,121,25
724,293160,20,122,122,19
725,293161,21,123,123,25
726,293162,20,125,125,19
727,293163,23,122,122,25
728,293164,21,122,122,25
729,293165,21,121,121,25
730,293166,21,123,123,26
731,293167,20,123,123,26
732,293168,20,122,122,19
733,293169,20,122,122,19
734,293170,21,121,121,25
735,293171,21,123,123,25
736,293172,20,116,116,19
737,293173,23,122,122,25
738,293174,23,122,122,25
739,293175,20,123,123,26
740,293176,20,122,122,25
741,293178,21,121,121,25
742,293179,21,122,122,25
743,293180,21,121,121,25
744,293181,21,121,121,25
745,293182,20,123,123,26
746,293183,21,121,121,25
747,293184,23,122,122,25
748,293185A,20,122,122,19
749,293185B,20,122,122,19
750,293186,20,122,122,19
751,293187,20,122,122,19
752,293188A,20,122,122,19
753,293188B,20,122,122,19
754,293189,20,122,122,19
755,293190,20,122,122,19
756,293191,20,122,122,19
757,293193,21,122,122,25
758,293194,23,122,122,25
759,293195,20,116,116,26
760,293196,23,122,122,25
761,293198,20,122,122,19
762,293199,23,122,122,25
763,293201,21,122,122,25
764,293202,23,122,122,25
765,293203,23,122,122,25
766,293204,35,123,123,26
767,293205,35,120,120,26
768,293206,35,123,123,26
769,293207,21,121,121,26
770,293208,35,123,123,26
771,294001,35,123,123,26
772,294002,35,123,123,26
773,294003,35,120,120,19
774,294004,35,120,120,26
775,294005,35,120,120,26
776,294006,35,123,123,26
777,294007,21,120,120,26
778,294008,21,120,120,26
779,294009,35,120,120,26
780,294010,35,120,120,19
781,294011,35,120,120,19
782,294012,35,120,120,19
783,294013,35,119,119,26
784,294014,35,123,123,26
785,294015,35,123,123,26
786,294016,35,119,119,26
787,294017,35,123,123,26
788,294018,35,123,123,26
789,294019,35,119,119,19
790,294020,35,119,119,19
791,294021,35,121,121,26
792,294022,35,121,121,25
793,294023,35,119,119,19
794,294024,35,119,119,19
795,294025,35,119,119,19
796,294026,35,119,119,26
797,294027,35,119,119,26
798,294028,35,119,119,26
799,294029,35,119,119,26
800,294030,35,120,120,19
801,294031,35,119,119,19
802,294032,35,119,119,19
803,294033,35,119,119,19
804,294034,23,119,119,19
805,294035,35,120,120,25
806,294036,23,120,120,19
807,294037,35,120,120,19
808,294038,21,121,121,25
809,294039,35,120,120,19
810,294040,35,120,120,19
811,294041,35,120,120,19
812,294042,35,120,120,19
813,294043,28,119,119,19
814,294044,35,120,120,26
815,294045,35,120,120,26
816,294046,21,121,121,25
817,294047,35,120,120,26
818,294048,35,119,119,26
819,294049,28,120,120,26
820,294050,28,120,120,26
821,294051,28,120,120,26
822,294052,28,120,120,26
823,294053,28,120,120,26
824,294054,28,119,119,26
825,294055,28,119,119,25
826,294056,28,119,119,25
827,294057,28,118,118,25
828,294058,28,118,118,19
829,294059,28,120,120,26
830,294060,28,120,120,26
831,294061,28,120,120,26
832,294062,23,119,119,19
833,294063,35,120,120,26
834,294064,35,120,120,19
835,294065,35,120,120,19
836,294066,28,120,120,26
837,294067,28,120,120,26
838,294068,28,119,119,19
839,294069,28,119,119,19
840,294070,23,120,120,19
841,294071,28,118,118,19
842,294072,28,118,118,19
843,294073,23,118,118,19
844,294074,28,118,118,19
845,294075,35,123,123,26
846,294076,35,120,120,26
847,294077,23,119,119,19
848,294078,28,119,119,19
849,294079,28,119,119,25
850,294080,35,120,120,19
851,294081,28,118,118,19
852,294082,35,120,120,19
853,294083,28,119,119,19
854,294084,28,119,119,19
855,294085,28,119,119,19
856,294086,28,118,118,19
857,294087,28,119,119,19
858,294088,28,120,120,26
859,294089,28,119,119,19
860,294090,28,120,120,26
861,294091,35,120,120,25
862,294092,28,120,120,26
863,294093,28,119,119,25
864,294094,35,121,121,25
865,294095,35,121,121,25
866,294096,35,121,121,25
867,294097,35,118,118,25
868,294098,35,118,118,25
869,294099,35,121,121,25
870,294100,28,119,119,25
871,294101,28,119,119,19
872,294102,35,121,121,25
873,294103,28,118,118,19
874,294104,35,118,118,25
875,294105,28,118,118,25
876,294106,35,120,120,26
877,294107,28,120,120,26
878,294108,35,118,118,25
879,294109,28,119,119,19
880,294110,35,120,120,26
881,294111,21,120,120,19
882,294112,21,120,120,26
883,294113,28,120,120,19
884,294114A,28,120,120,26
885,294114B,28,120,120,26
886,294115,28,119,119,26
887,294116,28,119,119,25
888,294117,35,121,121,25
889,294118,28,119,119,19
890,294119,35,120,120,26
891,294120,35,120,120,25
892,294121,28,118,118,19
893,294122,21,120,120,26
894,294123,21,120,120,26
895,294124,35,119,119,19
896,294125,35,120,120,25
897,294126,28,118,118,19
898,294127,28,120,120,19
899,294128,21,123,123,26
900,294129,28,118,118,19
901,294130,28,119,119,26
902,294131,35,120,120,26
903,294132,28,119,119,19
904,294133,23,119,119,19
905,294134,35,120,120,26
906,294135,21,120,120,26
907,294136,28,119,119,19
908,294137,28,119,119,19
909,294138,35,119,119,26
910,294139,35,120,120,25
911,294140,28,119,119,26
912,294141,35,119,119,19
913,294142,28,120,120,26
914,294143,28,120,120,19
915,294144,28,119,119,25
916,294145,28,120,120,19
917,294146,28,120,120,26
918,294147,21,121,121,25
919,294148,35,119,119,25
920,294149,35,121,121,26
921,294150,28,120,120,19
922,294151,28,118,118,19
923,294152,28,120,120,26
924,294153,23,118,118,19
925,294154,35,120,120,26
926,294155,35,123,123,26
927,294156,28,120,120,26
928,294157,35,123,123,26
929,294158,28,118,118,25
930,294159,28,119,119,19
931,294160,35,120,120,19
932,294161,28,120,120,19
933,294162,28,119,119,26
934,294163,28,120,120,26
935,294164,28,119,119,25
936,294165,23,118,118,19
937,294166,28,120,120,26
938,294167,28,120,120,19
939,294168,28,120,120,26
940,294169,21,121,121,25
941,294170,35,121,121,25
942,294171,35,121,121,25
943,294172,35,121,121,25
944,294173,21,121,121,25
945,294174,35,121,121,25
946,294175,28,120,120,26
947,294176,21,121,121,25
948,294177,35,119,119,19
949,294178,21,120,120,26
950,294179,35,118,118,25
951,294180,28,118,118,19
952,294181,35,121,121,26
953,294182,35,120,120,26
954,294183,21,120,120,26
955,294184,21,120,120,26
956,294185,35,119,119,26
957,294186,21,120,120,26
958,294187,28,118,118,19
959,294188,28,119,119,19
960,294189,28,119,119,19
961,294190,28,119,119,19
962,294191,28,119,119,19
963,294192,28,120,120,26
964,294193,28,120,120,19
965,294194,28,119,119,19
966,294195,35,120,120,26
967,294196,28,120,120,26
968,294198,28,120,120,19
969,294199,28,118,118,25
970,294200,35,119,119,19
971,294201,28,119,119,19
972,294202,23,118,118,19
973,294203,35,120,120,26
974,294204,23,119,119,19
975,294205,35,121,121,26
976,294206,28,120,120,26
977,294207,28,119,119,19
978,294208,28,119,119,19
979,294209,28,119,119,19
980,294210,35,121,121,25
981,294211,21,123,123,26
982,294212,28,118,118,19
983,310102,21,45,45,24
984,310201,21,45,45,24
985,310302,21,45,45,24
986,310303,21,45,45,24
987,310304,21,45,45,24
988,310401,21,45,45,24
989,330004,19,83,83,28
990,33001A,19,83,83,28
991,33001B,19,83,83,28
992,33002A,19,83,83,28
993,33002B,19,83,83,28
994,33003A,19,83,83,28
995,33003B,19,83,83,28
996,350001,25,58,58,22
997,350002,25,58,58,22
998,350003,25,58,58,22
999,350004,25,58,58,22
1000,350005,25,58,58,22
1001,350006,25,58,58,22
1002,350007,25,58,58,22
1003,350008,25,58,58,22
1004,350009,25,58,58,22
1005,350010,25,58,58,22
1006,350011,25,58,58,22
1007,370007,4,1,1,1
1008,370009,4,1,1,1
1009,370010,4,1,1,1
1010,370011,4,1,1,1
1011,370012,4,1,1,1
1012,370013,4,1,1,1
1013,370014,4,1,1,1
1014,370015,4,1,1,1
1015,370016,4,1,1,1
1016,370017,4,1,1,1
1017,370018,4,1,1,1
1018,370019,4,1,1,1
1019,37001A,4,1,1,1
1020,37001B,4,1,1,1
1021,370020,4,1,1,1
1022,370021,4,1,1,1
1023,370022,4,1,1,1
1024,370024,4,1,1,1
1025,370025,4,1,1,1
1026,370027,4,1,1,1
1027,370028,4,1,1,1
1028,370029,4,1,1,1
1029,37002A,4,1,1,1
1030,37002B,4,1,1,1
1031,37002C,4,1,1,1
